city	x	y	longitude	latitude
Vilnius	270.9241216	74.86122089	54.68916	25.2798
Kaunas	181.2228674	98.33181497	54.9	23.9
Klaipėda	3.065587344	189.3043007	55.71722	21.1175
Šiauliai	140.1747466	213.3615483	55.93333	23.31667
Panevėžys	205.6514594	191.0976571	55.73333	24.35
Alytus	193.1844675	42.67208703	54.4	24.05
Marijampolė	147.2299789	61.22570074	54.56667	23.35
Mažeikiai	78.08022599	256.0347485	56.31667	22.33333
Jonava	204.815944	118.7400108	55.08333	24.28333
Utena	285.6627757	165.1234885	55.5	25.6
Kėdainiai	184.2064981	141.5604993	55.28833	23.97472
Telšiai	73.5712277	218.9275211	55.98333	22.25
Visaginas	336.2660775	176.2554341	55.6	26.41667
Tauragė	77.0751103	137.2936245	55.25	22.28333
Ukmergė	233.5634332	137.2936245	55.25	24.75
Plungė	48.74535419	211.5069662	55.91667	21.85
Kretinga	11.37943668	206.9606796	55.87583	21.25083
Šilutė	26.24841775	148.4255701	55.35	21.48333
Radviliškis	154.1453767	200.3750206	55.81667	23.53333
Palanga	0	211.5993613	55.9175	21.06861
Gargždai	20.99057189	188.8100423	55.71278	21.40333
Druskininkai	189.5364962	0	54.01667	23.96667
Rokiškis	281.2293761	217.072939	55.96667	25.58333
Biržai	227.9486087	243.0471076	56.2	24.75
Elektrėnai	230.7043975	85.5790581	54.78544	24.66302
Kuršėnai	116.2687393	221.1372123	56.00318	22.93662
Jurbarkas	108.1906942	118.1221878	55.07778	22.76639
Vilkaviškis	126.4590598	70.68785449	54.65167	23.03222
Raseiniai	129.8600754	151.0538225	55.37361	23.12167
Anykščiai	253.936537	168.833766	55.53333	25.1
Naujoji Akmenė	113.0630813	256.0347485	56.31667	22.9
Prienai	185.6420618	68.64625567	54.63333	23.95
Joniškis	157.5318047	247.5310553	56.24028	23.61528
